,ref,company,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,rating,counts_of_ingredients,beans,cocoa_butter,vanilla,lecithin,salt,sugar,sweetener_without_sugar,first_taste,second_taste,third_taste,fourth_taste,lat,lon
62,1728,Altus aka Cao Artisan,U.S.A,2016,Nicaragua,Momotombo,60,2.75,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,powdery,sweet,molasses,,37.34224,-115.1427
63,1732,Altus aka Cao Artisan,U.S.A,2016,Ecuador,Gruppo Salinas,60,2.75,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sandy,nutty,earthy,roasty,37.34224,-115.1427
64,1732,Altus aka Cao Artisan,U.S.A,2016,Bolivia,CIAAB Coop,60,2.5,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sandy,sweet,pungent,,37.34224,-115.1427
65,1732,Altus aka Cao Artisan,U.S.A,2016,Peru,Villa Andina,60,2.5,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sandy,sweet,sour,off,37.34224,-115.1427
66,2044,Altus aka Cao Artisan,U.S.A,2018,Dominican republic,Oko Caribe,70,3,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sweet,coarse,nutty,,37.34224,-115.1427
67,175,Amano,U.S.A,2007,Venezuela,Ocumare,70,3.75,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,spicy,strawberry,,,28.4322,-125.1227
68,129,Amano,U.S.A,2007,Madagascar,Madagascar,70,3.5,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,spice,nut,cocoa,fruit,28.4322,-125.1227
69,147,Amano,U.S.A,2007,Venezuela,Cuyagua,70,3,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,waxy,nutty,mint,,28.4322,-125.1227
70,304,Amano,U.S.A,2008,Indonesia,"Bali, Jembrana",70,2.75,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sticky,nutty,high acidity,,28.4322,-125.1227
71,363,Amano,U.S.A,2009,Venezuela,Montanya,70,3,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,hot spice,roasty,,,28.4322,-125.1227
